名称,大类,中类,经度,纬度,省份,地级市,区县
世博公园,生活服务,公厕,121.481076,31.185966,上海市,上海市,浦东新区
寻丰生态公园,旅游景点,公园,121.4886,31.197374,上海市,上海市,黄浦区
中华民族复兴主题生态公园,旅游景点,公园,121.485074,31.192546,上海市,上海市,黄浦区
黄浦滨江滑板极限生态公园,运动健身,其他,121.490158,31.194164,上海市,上海市,黄浦区
滨江滑板公园,旅游景点,公园,121.467813,31.185949,上海市,上海市,徐汇区
木马生态公园,旅游景点,公园,121.463135,31.181656,上海市,上海市,徐汇区
简单生活生态公园,旅游景点,水族馆,121.463211,31.183537,上海市,上海市,徐汇区
长宁虹桥体育生态公园,旅游景点,公园,121.346016,31.221291,上海市,上海市,长宁区
MOREPRK factory 滑板生态公园,运动健身,其他,121.35126,31.241423,上海市,上海市,嘉定区
一亩万福生态公园,休闲娱乐,农家乐,121.188348,31.166144,上海市,上海市,青浦区
华宝路小生态公园,旅游景点,公园,121.327245,31.163684,上海市,上海市,闵行区
华翔绿地公园,旅游景点,公园,121.32845,31.172568,上海市,上海市,闵行区
鑫牛生态公园,休闲娱乐,农家乐,121.261861,31.203434,上海市,上海市,青浦区
聚动力星空足球生态公园,旅游景点,水族馆,121.315664,31.220246,上海市,上海市,闵行区
聚动力星空足球生态公园,运动健身,足球,121.315608,31.220251,上海市,上海市,闵行区
启望老克勒足球生态公园,运动健身,足球,121.320865,31.223396,上海市,上海市,闵行区
爱特足球生态公园,运动健身,足球,121.30923,31.232552,上海市,上海市,嘉定区
鲜缘葡萄采摘生态公园,休闲娱乐,农家乐,121.259745,31.250164,上海市,上海市,闵行区
重固体育生态公园,旅游景点,公园,121.18917,31.202566,上海市,上海市,青浦区
华隆生态公园,旅游景点,公园,121.23007,31.220165,上海市,上海市,青浦区
百蒂凯现代生态公园,商务住宅,产业园,121.232479,31.265578,上海市,上海市,嘉定区
百蒂凯现代农业生态公园,休闲娱乐,农家乐,121.232357,31.26658,上海市,上海市,嘉定区
黄渡公园,旅游景点,公园,121.216497,31.268421,上海市,上海市,嘉定区
佘香生态公园,商务住宅,产业园,121.1381,31.086041,上海市,上海市,松江区
朱家角镇市民广场体育生态公园,旅游景点,公园,121.044933,31.106732,上海市,上海市,青浦区
青溪生态公园,旅游景点,公园,121.115732,31.140378,上海市,上海市,青浦区
香雪生态公园,旅游景点,公园,121.106752,31.139507,上海市,上海市,青浦区
青浦春暖绿地生态公园,旅游景点,公园,121.160079,31.148331,上海市,上海市,青浦区
爱多邦生态公园,旅游景点,公园,121.15591,31.144875,上海市,上海市,青浦区
极限运动滑板生态公园,运动健身,其他,121.160771,31.166405,上海市,上海市,青浦区
惠尔现代物流生态公园,生活服务,物流,121.164422,31.17346,上海市,上海市,青浦区
环城水系生态公园,旅游景点,公园,121.113556,31.163612,上海市,上海市,青浦区
仨分青少年篮球公园,运动健身,篮球,121.10729,31.168908,上海市,上海市,青浦区
沁园湖生态公园,旅游景点,公园,121.09837,31.17181,上海市,上海市,青浦区
Max体育生态公园,运动健身,综合体育馆,121.135792,31.161242,上海市,上海市,青浦区
波仕顿阳光生态公园,旅游景点,公园,121.736819,30.964639,上海市,上海市,浦东新区
南门港生态公园,旅游景点,公园,121.649962,30.910331000000003,上海市,上海市,奉贤区
奉城中心公园,旅游景点,公园,121.654235,30.915984,上海市,上海市,奉贤区
海塘生态公园,旅游景点,公园,121.492486,30.834797,上海市,上海市,奉贤区
星火公园,旅游景点,公园,121.56397,30.854033,上海市,上海市,奉贤区
新张村党建微生态公园,旅游景点,水族馆,121.537413,30.870634,上海市,上海市,奉贤区
上海申隆生态公园,旅游景点,景点,121.573947,30.891543,上海市,上海市,奉贤区
塘外村法治微生态公园,旅游景点,公园,121.621039,30.902105,上海市,上海市,奉贤区
春来市民微生态公园,旅游景点,公园,121.647865,30.945847,上海市,上海市,奉贤区
星空生态公园,旅游景点,水族馆,121.512153,30.926186,上海市,上海市,奉贤区
上海之鱼泡泡生态公园,旅游景点,公园,121.501443,30.926569,上海市,上海市,奉贤区
雕塑艺术生态公园,旅游景点,公园,121.50323,30.929561,上海市,上海市,奉贤区
青年艺术公园,旅游景点,公园,121.504485,30.933771,上海市,上海市,奉贤区
年丰公园,交通设施,公交站,121.493464,30.932386,上海市,上海市,奉贤区
祺圣之星篮球公园,运动健身,其他,121.491936,30.935374,上海市,上海市,奉贤区
朱店村党建微生态公园,旅游景点,水族馆,121.5547,30.919657,上海市,上海市,奉贤区
沙贝微生态公园,旅游景点,公园,121.52759,30.944789,上海市,上海市,奉贤区
芦潮港公园,旅游景点,景点,121.862904,30.868916,上海市,上海市,浦东新区
大芦东路口袋生态公园,旅游景点,公园,121.852331,30.878872,上海市,上海市,浦东新区
海客生态公园,旅游景点,公园,121.909652,30.864499,上海市,上海市,浦东新区
二环城市生态公园,旅游景点,其他,121.92075,30.893915,上海市,上海市,浦东新区
临港艺术体育生态公园,科教文化,培训单位,121.910956,30.901022,上海市,上海市,浦东新区
二环城市生态公园,运动健身,其他,121.923607,30.909727,上海市,上海市,浦东新区
二环城市生态公园,购物消费,其他,121.922599,30.909375,上海市,上海市,浦东新区
二环城市生态公园,运动健身,其他,121.92306,30.910192,上海市,上海市,浦东新区
上海海昌海洋公园,旅游景点,水族馆,121.905728,30.912633,上海市,上海市,浦东新区
上海海昌海洋公园,旅游景点,水族馆,121.911819,30.914539,上海市,上海市,浦东新区
红星美凯龙·爱琴海购物公园,购物消费,百货商场,121.914878,30.918468,上海市,上海市,浦东新区
社区生态公园,旅游景点,公园,121.809907,30.963869,上海市,上海市,浦东新区
初心生态公园,旅游景点,公园,121.868225,30.98798,上海市,上海市,浦东新区
老港生态公园,旅游景点,公园,121.838564,31.035551,上海市,上海市,浦东新区
健康主题生态公园,旅游景点,公园,121.841807,31.037,上海市,上海市,浦东新区
元音生态公园,旅游景点,公园,121.509598,30.975878,上海市,上海市,奉贤区
樽文生态公园,休闲娱乐,农家乐,121.515213,31.012625,上海市,上海市,闵行区
美式篮球公园,运动健身,篮球,121.637478,31.02604,上海市,上海市,浦东新区
航东村口袋生态公园,旅游景点,公园,121.602274,31.033597,上海市,上海市,浦东新区
ABC美式篮球公园,运动健身,篮球,121.593862,31.042756,上海市,上海市,浦东新区
滨河生态公园,旅游景点,公园,121.592933,31.084267,上海市,上海市,浦东新区
航城生态公园,旅游景点,公园,121.596992,31.079532,上海市,上海市,浦东新区
上海浦江郊野公园,旅游景点,公园,121.49633,31.057782,上海市,上海市,闵行区
上海浦江郊野公园,旅游景点,公园,121.511755,31.055087,上海市,上海市,闵行区
